Код;Подстанция;Присоединение;Устройство РЗА;2015 дата;Тип терминала;2015;2016;2017;2016 дата;2018;2021;2019;2020;Посл_пров;Дата_посл_пров;ЦСРЗАИ;Ввод в эксплуатацию;Количество присоединений;Количество релейных защит;Примечание;Норма времени на Н;Норма времени на  В;Норма времени на К;Норма времени на О;Микроэлектроника;Оформлена документация;Включено в график отключений;Стоимость реконструкции;Год реконструкции;Микропроцессорная;Мастер код;2021 дата;Норма времени на К1;Сортировка ЦДС;Выполнено;Это не РЗА?;Тип присоединения;Реконструкция по ОКС;2017 дата;2022;2023;2024;2025;2018 дата;2026;2027;2028;2029;2030;Количество электроавтоматики;Количество противоаварийной автоматики;2019 дата;Назначение устройства РЗА;Производитель;Тип объекта;Тип устройства;2020 дата;2022 дата
2569;ТП-874 "Дыманово" ВСРЭС;РУ-10кВ;РЗА;;РТВ;в;;;;;;в;;в;09.2019;0;2002;1;1;;14;7,60;2,20;0,90;0;0;0;;2026;0;11;;14,00;;0;0;6;0;;;к;;;;;в;;;;;;9;1;1;ТП;ЭМ;;
2570;ТП-873 "Дыманово" ВСРЭС;РУ-10кВ;РЗА;;РТВ;в;;;;;;в;;в;08.2019;0;2002;1;1;;14;7,60;2,20;0,90;0;0;0;;2026;0;11;;14,00;;0;0;6;0;;;к;;;;;в;;;;;;8;1;1;ТП;ЭМ;;
2571;ТП-842 "Кировский" ВСРЭС;РУ-10кВ;РЗА;;РТВ;в;;;;;;в;;в;08.2019;0;1987;1;1;;14;7,60;2,20;0,90;0;0;0;;2019;0;11;;14,00;;0;0;6;0;;;к;;;;;в;;;;;;8;1;1;ТП;ЭМ;;
2572;ТП-884 "Кировский" ВСРЭС;РУ-10кВ;РЗА;;РТВ;в;;;;;;в;;в;09.2019;0;1988;1;1;;14;7,60;2,20;0,90;0;0;0;;2019;0;11;;14,00;;0;0;6;0;;;к;;;;;в;;;;;;9;1;1;ТП;ЭМ;;
2573;ТП-929 "Кировский" ВСРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;;;в;;в;10.2019;0;1990;1;1;;14;7,60;2,20;0,90;0;0;0;;2019;0;11;;14,00;;0;0;6;0;;;к;;;;;в;;;;;;10;1;1;ТП;ЭМ;;
2574;ТП-901 "Кировский" ВСРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;;;в;;в;10.2019;0;1989;1;1;;14;7,60;2,20;0,90;0;0;0;;2019;0;11;;14,00;;0;0;6;0;;;к;;;;;в;;;;;;10;1;1;ТП;ЭМ;;
2576;ТП-793 "Осиновки" ВСРЭС;РУ-10кВ;РЗА;;РТВ;;к;;11;;;;н;в;2020;0;2020;1;1;;14;7,60;2,20;0,90;0;0;0;;2020;0;11;;;;0;0;6;0;;к1;;к;;;;;в;;;;;;1;1;ТП;ЭМ;4;9
2577;ТП-63 "Узварцы" ВСРЭС;РУ-10кВ;РЗА;;РТВ;;в;;11;;;;к;к;2020;0;1974;1;1;;40;28,80;13,30;2,60;0;0;0;;2024;0;11;;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;ТП;ЭМ;4;
2578;ТП-648 "Заозерье" ВСРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;;;к;;;;0;1989;1;1;;14;7,60;2,20;0,90;0;0;0;;2025;0;11;;14,00;;0;0;6;0;;;в;;;;;к;;;;;;2;1;1;ТП;ЭМ;;
2579;ТП-40 "Комары" ВСРЭС;РУ-10кВ;РЗА;;РТВ;в;в;;9;;;;к;к;2020;0;1972;1;1;;14;7,60;2,20;0,90;0;0;0;;2023;0;11;;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;ТП;ЭМ;10;
